scenario,query_id,role,strategy,policy_version,authorized_count,authorized_selectivity,lid,lid_scale_instability,relative_contrast,radius_expansion,policy_churn,embedding_drift,risk_score,recall_at_k,evidence_sufficient,unauthorized_candidates,unauthorized_context,shortfall,latency_ms,effort_proxy,selected,serving_cost,recall_target_met,evidence_basis,evidence_query_id,authorized_solution_exists,authorized_evidence_bundle_ids,complete_evidence_bundle_ids,answered,evidence_supported_emission,false_permit,false_denial
aligned,10,role-0,exact-authorized,aligned-v1,755,0.3145833333333333,8.189767221578153,0.16130747160205106,9.107063314631802,1.1562493108228395,0.0,0.0,0.13981586951544023,1.0,,0,0,0,0.038084,755,False,,True,unavailable,,,(),(),,,,
aligned,10,role-0,unsafe-unfiltered,aligned-v1,755,0.3145833333333333,8.189767221578153,0.16130747160205106,9.107063314631802,1.1562493108228395,0.0,0.0,0.13981586951544023,1.0,,0,0,0,0.036166,10,False,,True,unavailable,,,(),(),,,,
aligned,11,role-0,hnsw-low,aligned-v1,755,0.3145833333333333,7.714113259826415,0.21719909334647164,8.689856840963438,1.1604250873889954,0.0,0.0,0.1542751580405517,1.0,,0,0,0,0.036042,128,True,,True,unavailable,,,(),(),,,,
aligned,11,role-0,hnsw-high,aligned-v1,755,0.3145833333333333,7.714113259826415,0.21719909334647164,8.689856840963438,1.1604250873889954,0.0,0.0,0.1542751580405517,1.0,,0,0,0,0.083833,512,False,,True,unavailable,,,(),(),,,,
aligned,11,role-0,exact-authorized,aligned-v1,755,0.3145833333333333,7.714113259826415,0.21719909334647164,8.689856840963438,1.1604250873889954,0.0,0.0,0.1542751580405517,1.0,,0,0,0,0.036875,755,False,,True,unavailable,,,(),(),,,,
aligned,11,role-0,unsafe-unfiltered,aligned-v1,755,0.3145833333333333,7.714113259826415,0.21719909334647164,8.689856840963438,1.1604250873889954,0.0,0.0,0.1542751580405517,1.0,,0,0,0,0.033875,10,False,,True,unavailable,,,(),(),,,,
aligned,12,role-0,hnsw-low,aligned-v1,755,0.3145833333333333,7.527238587421919,0.19563350166167726,13.011822090371275,1.1668603099163541,0.0,0.0,0.14308011453719124,0.9,,0,0,0,0.036833,128,True,,True,unavailable,,,(),(),,,,
aligned,12,role-0,hnsw-high,aligned-v1,755,0.3145833333333333,7.527238587421919,0.19563350166167726,13.011822090371275,1.1668603099163541,0.0,0.0,0.14308011453719124,0.9,,0,0,0,0.08125,512,False,,True,unavailable,,,(),(),,,,
aligned,12,role-0,exact-authorized,aligned-v1,755,0.3145833333333333,7.527238587421919,0.19563350166167726,13.011822090371275,1.1668603099163541,0.0,0.0,0.14308011453719124,1.0,,0,0,0,0.034583,755,False,,True,unavailable,,,(),(),,,,
aligned,12,role-0,unsafe-unfiltered,aligned-v1,755,0.3145833333333333,7.527238587421919,0.19563350166167726,13.011822090371275,1.1668603099163541,0.0,0.0,0.14308011453719124,0.9,,0,0,0,0.030625,10,False,,True,unavailable,,,(),(),,,,
aligned,13,role-0,hnsw-low,aligned-v1,755,0.3145833333333333,8.67662244899222,0.20730948420112064,9.702707397919502,1.144189531781928,0.0,0.0,0.1553506725288054,1.0,,0,0,0,0.035667,128,True,,True,unavailable,,,(),(),,,,
aligned,13,role-0,hnsw-high,aligned-v1,755,0.3145833333333333,8.67662244899222,0.20730948420112064,9.702707397919502,1.144189531781928,0.0,0.0,0.1553506725288054,1.0,,0,0,0,0.083583,512,False,,True,unavailable,,,(),(),,,,
aligned,13,role-0,exact-authorized,aligned-v1,755,0.3145833333333333,8.67662244899222,0.20730948420112064,9.702707397919502,1.144189531781928,0.0,0.0,0.1553506725288054,1.0,,0,0,0,0.034958,755,False,,True,unavailable,,,(),(),,,,
aligned,13,role-0,unsafe-unfiltered,aligned-v1,755,0.3145833333333333,8.67662244899222,0.20730948420112064,9.702707397919502,1.144189531781928,0.0,0.0,0.1553506725288054,1.0,,0,0,0,0.034375,10,False,,True,unavailable,,,(),(),,,,
aligned,14,role-0,hnsw-low,aligned-v1,755,0.3145833333333333,8.248884549710056,0.18211556425676395,11.99616272611065,1.1618021322322236,0.0,0.0,0.14406263563991337,1.0,,0,0,0,0.035333,128,True,,True,unavailable,,,(),(),,,,
aligned,14,role-0,hnsw-high,aligned-v1,755,0.3145833333333333,8.248884549710056,0.18211556425676395,11.99616272611065,1.1618021322322236,0.0,0.0,0.14406263563991337,1.0,,0,0,0,0.082375,512,False,,True,unavailable,,,(),(),,,,
aligned,14,role-0,exact-authorized,aligned-v1,755,0.3145833333333333,8.248884549710056,0.18211556425676395,11.99616272611065,1.1618021322322236,0.0,0.0,0.14406263563991337,1.0,,0,0,0,0.034125,755,False,,True,unavailable,,,(),(),,,,
aligned,14,role-0,unsafe-unfiltered,aligned-v1,755,0.3145833333333333,8.248884549710056,0.18211556425676395,11.99616272611065,1.1618021322322236,0.0,0.0,0.14406263563991337,1.0,,0,0,0,0.034875,10,False,,True,unavailable,,,(),(),,,,
aligned,15,role-0,hnsw-low,aligned-v1,755,0.3145833333333333,7.149671165992214,0.23310410023927994,11.86858543673257,1.1600308395806,0.0,0.0,0.1521940828055024,1.0,,0,0,0,0.0375,128,True,,True,unavailable,,,(),(),,,,
aligned,15,role-0,hnsw-high,aligned-v1,755,0.3145833333333333,7.149671165992214,0.23310410023927994,11.86858543673257,1.1600308395806,0.0,0.0,0.1521940828055024,1.0,,0,0,0,0.088,512,False,,True,unavailable,,,(),(),,,,
aligned,15,role-0,exact-authorized,aligned-v1,755,0.3145833333333333,7.149671165992214,0.23310410023927994,11.86858543673257,1.1600308395806,0.0,0.0,0.1521940828055024,1.0,,0,0,0,0.037666,755,False,,True,unavailable,,,(),(),,,,
aligned,15,role-0,unsafe-unfiltered,aligned-v1,755,0.3145833333333333,7.149671165992214,0.23310410023927994,11.86858543673257,1.1600308395806,0.0,0.0,0.1521940828055024,1.0,,0,0,0,0.039917,10,False,,True,unavailable,,,(),(),,,,
aligned,16,role-0,hnsw-low,aligned-v1,755,0.3145833333333333,7.534514720845004,0.19015231559441154,9.745836119625924,1.180913429580255,0.0,0.0,0.14476188707269355,1.0,,0,0,0,0.037625,128,True,,True,unavailable,,,(),(),,,,
aligned,16,role-0,hnsw-high,aligned-v1,755,0.3145833333333333,7.534514720845004,0.19015231559441154,9.745836119625924,1.180913429580255,0.0,0.0,0.14476188707269355,1.0,,0,0,0,0.089458,512,False,,True,unavailable,,,(),(),,,,
aligned,16,role-0,exact-authorized,aligned-v1,755,0.3145833333333333,7.534514720845004,0.19015231559441154,9.745836119625924,1.180913429580255,0.0,0.0,0.14476188707269355,1.0,,0,0,0,0.034,755,False,,True,unavailable,,,(),(),,,,
aligned,16,role-0,unsafe-unfiltered,aligned-v1,755,0.3145833333333333,7.534514720845004,0.19015231559441154,9.745836119625924,1.180913429580255,0.0,0.0,0.14476188707269355,1.0,,0,0,0,0.031,10,False,,True,unavailable,,,(),(),,,,
aligned,17,role-0,hnsw-low,aligned-v1,755,0.3145833333333333,8.060404911773983,0.24473652955615727,15.694217106802133,1.1376962356194984,0.0,0.0,0.1584905219093047,1.0,,0,0,0,0.038125,128,True,,True,unavailable,,,(),(),,,,
aligned,17,role-0,hnsw-high,aligned-v1,755,0.3145833333333333,8.060404911773983,0.24473652955615727,15.694217106802133,1.1376962356194984,0.0,0.0,0.1584905219093047,1.0,,0,0,0,0.0875,512,False,,True,unavailable,,,(),(),,,,
aligned,17,role-0,exact-authorized,aligned-v1,755,0.3145833333333333,8.060404911773983,0.24473652955615727,15.694217106802133,1.1376962356194984,0.0,0.0,0.1584905219093047,1.0,,0,0,0,0.038416,755,False,,True,unavailable,,,(),(),,,,
